Meta,-3,-2,-1,0,1,2,3
-3,0,2,2,2,0,0,0
-2,3,106,57,19,1,0,0
-1,1,66,538,133,3,0,0
0,1,12,139,1440,163,6,1
1,1,0,4,144,694,74,1
2,0,0,0,25,55,147,3
3,0,0,0,0,2,3,5
