Meta,-3,-2,-1,0,1,2,3
-3,0,0,3,0,0,0,0
-2,3,155,53,11,0,0,0
-1,0,63,610,164,1,0,0
0,0,4,170,1867,213,5,0
1,0,0,1,196,902,100,0
2,0,0,0,21,79,177,7
3,0,0,1,1,3,2,5
