Meta,-3,-2,-1,0,1,2,3
-3,3,0,6,2,1,0,0
-2,3,27,66,51,2,0,0
-1,5,84,382,316,10,0,0
0,1,38,326,1139,317,39,1
1,0,0,13,267,398,116,11
2,0,0,2,77,72,53,5
3,0,0,2,10,4,1,0
