Meta,-3,-2,-1,0,1,2,3
-3,0,2,1,2,2,0,0
-2,1,49,81,94,15,0,0
-1,3,141,462,312,26,1,0
0,2,41,375,1264,432,46,2
1,1,7,22,381,580,164,6
2,0,0,4,101,105,73,4
3,0,0,0,8,1,3,0
