Meta,-3,-2,-1,0,1,2,3
-3,4,0,5,2,1,0,0
-2,4,42,65,37,1,0,0
-1,3,77,439,270,8,0,0
0,1,30,276,1255,272,27,1
1,0,0,9,238,440,110,8
2,0,0,2,53,78,68,8
3,0,0,1,7,5,4,0
