Meta,-3,-2,-1,0,1,2,3
-3,0,1,3,4,1,0,0
-2,1,15,69,82,4,0,0
-1,8,107,393,309,21,0,0
0,0,47,348,945,345,44,2
1,0,1,18,312,424,126,2
2,0,0,7,74,86,40,3
3,0,0,0,4,3,0,0
