Meta -1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
Meta -2,-3,-3,-3,-3,-3,-3,-2,-2,-2,-1,-1,0,1,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,-1,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,1,1,2,2,2,2,3,3,3,3,3
Meta -3,-3,-3,-3,-2,-2,-1,-2,-1,-1,-1,-1,0,1,-3,-2,-1,0,1,-3,-3,-3,-2,-2,-2,-2,-1,-1,-1,0,0,-2,-2,-2,-1,-1,-1,0,0,0,-2,0,0,2,-3,-3,-3,-2,-2,-2,-2,-1,-1,-1,0,0,-2,-2,-2,-2,-1,-1,-1,0,0,0,0,-2,-2,-1,-1,-1,0,0,0,0,1,1,-2,-2,-1,-1,0,-2,-2,-2,-1,-1,-1,0,0,-2,-2,-2,-1,-1,-1,0,0,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2,2,0,0,1,1,2,-1,-1,-1,-1,0,0,0,0,1,1,1,2,-1,0,0,0,0,1,1,1,1,1,2,2,2,2,3,0,0,1,1,1,2,2,2,3,3,3,0,1,1,-1,0,0,1,1,1,2,2,2,0,1,1,1,2,2,2,2,3,3,3,1,2,2,2,3,0,0,0,1,1,2,1,2,2,3,3
Meta -4,-3,-2,-1,-2,-1,-1,-2,-1,0,-1,0,0,1,-3,-1,-1,0,1,-3,-1,0,-3,-2,-1,0,-2,-1,0,0,2,-2,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,0,-3,-2,1,-3,-2,-1,0,-2,-1,0,-2,0,-3,-2,-1,0,-2,-1,0,-2,-1,0,1,-2,-1,-2,-1,0,-2,-1,0,1,0,1,-2,-1,-1,0,0,-3,-2,-1,-2,-1,0,-1,0,-2,-1,0,-2,-1,0,-2,-1,0,1,2,0,1,2,0,1,2,-1,0,1,0,1,2,0,1,2,3,0,1,1,2,1,-1,0,-1,0,-1,0,1,2,0,1,2,1,-1,-1,0,1,2,-1,0,1,2,3,0,1,2,3,3,0,1,0,1,2,0,1,2,2,3,3,0,0,1,-1,-1,0,0,1,2,0,1,2,0,0,1,2,0,1,2,3,1,2,3,0,0,1,2,3,0,1,0,-1,1,2,0,0,1,1,2
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,3,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,1,2,0,0,0,0,0,1,0,1,1,1,1,1,0,2,1,0,0,2,1,2,29,17,6,4,15,4,6,1,2,3,1,3,15,4,0,1,5,0,1,6,1,0,0,0,0,2,1,0,0,3,0,0,2,0,3,1,0,1,25,7,0,0,7,0,0,1,0,1,1,0,0,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,1,23,6,0,2,6,2,1,0,1,0,1,1,15,2,0,1,5,1,0,6,0,2,0,1,0,27,7,1,2,11,4,1,4,2,24,14,4,37,344,73,1,23,65,3,1,0,1,17,7,1,3,85,0,2,2,0,1,1,0,0,0,1,0,2,15,5,1,9,1,0,0,0,4,2,2,10,114,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,1,1,0,1,0,1,0,0,0,1,0,1,1,2,0,0,4,2,0,0,1,8,2,1,6,82,12,0,2,15,1,0,0,0,4,2,0,3,30,0,0,0,1,0,2,2,1,1,3,6,9,82,13,5,23,0,4,1,10,98,24,3,117,1130,111,4,34,76,12,1,3,1,1,28,9,8,74,7,4,4,5,0,2,0,2,1,1,0,0,1,0,1,28,6,0,2,6,1,0,0,0,7,3,0,0,10,79,6,0,0,5,2,0,0,3,1,1,2,2,0,0,6,0,1,0,2,1,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,1,1,0,3,95,11,1,4,12,1,1,0,0,0,4,0,2,18,0,0,1,1,1,0,0,1,0,0,0,1,2,1,1,61,11,1,1,14,2,1,1,3,60,14,1,1,56,328,46,1,3,16,32,3,1,3,0,8,11,3,1,7,27,2,1,1,7,0,1,0,1,8,1,13,0,1,0,4,1,1,6,1,1,9,25,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,18,0,0,0,0,0,0,0,0,7,0,0,0,12,24,2,0,0,1,1,0,0,1,0,0,1,0,0,1,4,0,0,0,4,0,0,0,0,10,5,21,2,0,0,1,3,8,22,0,2,20,44,4,1,3,2,1,1,0,2,2,1,0,1,0,2,2,0,0,0,2,2
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,3,1,1,0,0
