Meta,-3,-2,-1,0,1,2,3
-3,2,3,2,1,0,0,0
-2,6,120,69,21,0,0,0
-1,0,83,770,191,1,0,0
0,0,9,200,1934,174,10,0
1,0,1,0,158,724,78,1
2,0,0,4,21,61,152,6
3,0,0,0,0,3,4,8
