Meta,-3,-2,-1,0,1,2,3,4
-3,5,4,7,5,0,0,0,0
-2,11,89,87,36,1,0,0,0
-1,5,109,651,216,3,1,0,0
0,0,22,231,1702,239,20,0,0
1,0,0,6,192,639,148,1,0
2,0,0,2,51,99,179,20,1
3,0,0,1,10,5,4,9,1
4,0,0,0,2,0,0,0,2
