Meta,-3,-2,-1,0,1,2,3
-3,6,1,3,1,1,0,0
-2,6,80,51,12,0,0,0
-1,0,60,601,136,0,0,0
0,0,8,140,1564,147,5,0
1,0,0,2,138,591,73,1
2,0,0,0,13,64,124,8
3,0,0,0,0,2,7,8
