Meta,-3,-2,-1,0,1,2,3
-3,0,0,3,2,2,0,0
-2,3,105,78,51,2,0,1
-1,2,112,593,230,7,1,0
0,1,19,267,1550,307,20,0
1,0,4,4,276,743,132,2
2,1,0,0,51,98,131,6
3,0,0,0,4,2,3,3
