Meta,-3,-2,-1,0,1,2,3,4
-3,0,3,10,8,0,0,0,0
-2,9,44,90,78,3,0,0,0
-1,11,138,516,307,11,2,0,0
0,1,37,343,1438,332,61,0,0
1,0,1,12,255,512,195,9,2
2,0,1,9,105,125,91,20,1
3,0,0,5,17,3,3,1,1
4,0,0,0,4,0,0,0,0
