Date,Close,Volume,SMA_7,MSTD_7,SMA_14,MSTD_14,SMA_21,MSTD_21,Day_of_week,Weekend,Invalid_Days,diff_close_mean_7,diff_close_mean_z_score_7,diff_close_mean_z_score_7_diff,meta_7,meta_7_diff,diff_close_mean_14,diff_close_mean_z_score_14,diff_close_mean_z_score_14_diff,meta_14,meta_14_diff,diff_close_mean_21,diff_close_mean_z_score_21,diff_close_mean_z_score_21_diff,meta_21,meta_21_diff
2010-12-22,31.50099945068359,825000.0,31.647942679268972,0.7964105721109175,31.704799924577987,0.7612058086712489,30.383190427507675,2.073102901169087,2,0,0,-0.146943228585382,-0.1845068784005506,,0,-0.1845068784005506,-0.20380047389439682,-0.267733734520692,,0,-0.267733734520692,1.1178090231759157,0.539196111560863,,0,0.539196111560863
2010-12-23,31.79999923706055,80000.0,31.790799822126115,0.7031920990438577,31.74537127358573,0.7491084276168216,30.61176181974865,1.9418977831285322,3,0,0,0.009199414934435879,0.013082363904464342,0.19758924230501496,0,0.013082363904464342,0.054627963474821684,0.07292397396811102,0.340657708488803,0,0.07292397396811102,1.1882374173118997,0.6118949347568473,0.07269882319598431,0,0.6118949347568473
2010-12-24,31.79999923706055,80000.0,31.790799822126115,0.7031920990438577,31.74537127358573,0.7491084276168216,30.61176181974865,1.9418977831285322,4,0,1,0.009199414934435879,0.013082363904464342,0.0,0,0.013082363904464342,0.054627963474821684,0.07292397396811102,0.0,0,0.07292397396811102,1.1882374173118997,0.6118949347568473,0.0,0,0.6118949347568473
2010-12-25,31.79999923706055,80000.0,31.790799822126115,0.7031920990438577,31.74537127358573,0.7491084276168216,30.61176181974865,1.9418977831285322,5,1,1,0.009199414934435879,0.013082363904464342,0.0,0,0.013082363904464342,0.054627963474821684,0.07292397396811102,0.0,0,0.07292397396811102,1.1882374173118997,0.6118949347568473,0.0,0,0.6118949347568473
2010-12-26,31.79999923706055,80000.0,31.790799822126115,0.7031920990438577,31.74537127358573,0.7491084276168216,30.61176181974865,1.9418977831285322,6,1,1,0.009199414934435879,0.013082363904464342,0.0,0,0.013082363904464342,0.054627963474821684,0.07292397396811102,0.0,0,0.07292397396811102,1.1882374173118997,0.6118949347568473,0.0,0,0.6118949347568473
2010-12-27,32.20000076293945,215000.0,31.971514293125697,0.6018474182415244,31.723971366882324,0.7299389388795099,30.85938090369815,1.783387227651472,0,0,0,0.2284864698137561,0.37964185421173197,0.36655949030726764,0,0.37964185421173197,0.4760293960571289,0.6521496123879295,0.5792256384198184,0,0.6521496123879295,1.3406198592413041,0.7517267357615628,0.13983180100471548,0,0.7517267357615628
2010-12-28,32.20000076293945,40000.0,32.12865720476423,0.4642438646146982,31.738257135663712,0.7376728544946304,31.068904785882857,1.6601948695638284,1,0,0,0.0713435581752222,0.15367690046789134,-0.22596495374384062,0,0.15367690046789134,0.4617436272757409,0.6259463452699167,-0.026203267118012796,0,0.6259463452699167,1.1310959770565958,0.6813031396451436,-0.07042359611641924,0,0.6813031396451436
2010-12-29,31.74020004272461,85000.0,31.948685782296316,0.2763050562298451,31.662557193211146,0.6717701570274046,31.26129522777739,1.4739193902618148,2,0,0,-0.20848573957170657,-0.7545491291997102,-0.9082260296676015,0,-0.7545491291997102,0.07764284951346312,0.11557948608052815,-0.5103668591893885,0,0.11557948608052815,0.4789048149472208,0.3249192717806312,-0.35638386786451237,0,0.3249192717806312
2010-12-30,31.79999923706055,100000.0,31.89154270717076,0.25630647559250946,31.64827142442976,0.6661451893747522,31.48605709984189,1.122382802072251,3,0,0,-0.09154347011021002,-0.3571640938785761,0.39738503532113406,0,-0.3571640938785761,0.15172781263079216,0.22776988417976085,0.1121903980992327,0,0.22776988417976085,0.3139421372186604,0.27971039527604147,-0.04520887650458971,0,0.27971039527604147
2010-12-31,31.79999923706055,100000.0,31.89154270717076,0.25630647559250946,31.64827142442976,0.6661451893747522,31.48605709984189,1.122382802072251,4,0,1,-0.09154347011021002,-0.3571640938785761,0.0,0,-0.3571640938785761,0.15172781263079216,0.22776988417976085,0.0,0,0.22776988417976085,0.3139421372186604,0.27971039527604147,0.0,0,0.27971039527604147
