Meta,-3,-2,-1,0,1,2,3,4
-3,0,3,10,8,0,0,0,0
-2,9,36,78,61,3,0,0,0
-1,11,119,458,240,8,2,0,0
0,1,28,272,1160,246,50,0,0
1,0,0,6,187,386,147,9,2
2,0,1,9,80,91,74,20,1
3,0,0,5,17,3,3,1,1
4,0,0,0,4,0,0,0,0
