Meta,-3,-2,-1,0,1,2,3
-3,0,2,4,7,1,1,0
-2,8,41,64,42,0,0,0
-1,7,87,460,274,14,1,0
0,0,24,299,1130,258,24,3
1,0,0,14,227,474,125,2
2,0,1,0,53,88,89,10
3,0,0,0,7,7,1,2
