Meta,-3,-2,-1,0,1,2,3
-3,3,2,4,5,1,0,0
-2,8,64,53,30,0,0,0
-1,4,71,543,217,7,1,0
0,0,17,234,1264,208,15,1
1,0,1,8,185,545,101,2
2,0,0,0,35,76,121,9
3,0,0,0,4,5,3,5
