Meta,-3,-2,-1,0,1,2,3
-3,0,3,2,3,0,0,0
-2,3,65,108,51,7,0,0
-1,5,132,527,306,18,0,0
0,0,33,330,1401,342,32,0
1,0,0,16,314,643,168,5
2,0,0,4,62,131,87,6
3,0,0,0,4,4,3,0
