Meta,-3,-2,-1,0,1,2,3
-3,0,1,4,9,1,0,0
-2,3,24,90,105,5,0,0
-1,10,139,460,371,30,0,0
0,2,62,424,1265,414,57,2
1,0,1,25,381,505,150,4
2,0,0,7,91,105,52,4
3,0,0,0,5,5,0,0
