Meta,-3,-2,-1,0,1,2,3
-3,7,3,6,1,1,0,0
-2,7,97,80,38,1,1,0
-1,4,104,649,260,4,0,0
0,0,20,277,1719,256,23,0
1,0,0,8,233,621,110,6
2,0,0,1,38,89,121,10
3,0,0,0,6,6,4,5
