Meta,-3,-2,-1,0,1,2,3
-3,8,1,4,2,0,0,0
-2,5,110,51,17,0,0,0
-1,2,64,738,193,4,0,0
0,0,8,205,1804,189,8,0
1,0,0,3,179,802,91,0
2,0,0,0,17,79,205,10
3,0,0,0,2,1,7,8
