Meta,-3,-2,-1,0,1,2,3
-3,0,0,1,2,0,0,0
-2,0,43,72,100,6,1,0
-1,2,124,358,323,31,0,0
0,1,53,372,1261,498,68,2
1,0,2,31,474,515,168,9
2,0,0,3,93,140,47,1
3,0,0,1,7,4,0,0
