Meta,-3,-2,-1,0,1,2,3
-3,2,0,5,4,1,0,0
-2,3,12,65,66,3,0,0
-1,6,86,344,349,12,0,0
0,1,51,363,1046,344,54,1
1,0,0,15,290,372,114,14
2,0,0,2,96,69,40,2
3,0,0,3,11,2,1,0
