Meta,-3,-2,-1,0,1,2,3,4
-3,0,2,8,11,0,0,0,0
-2,8,31,75,68,5,0,0,0
-1,13,119,430,264,10,2,0,0
0,0,34,300,1099,256,67,0,0
1,0,0,5,201,366,147,15,3
2,0,1,14,89,99,57,15,1
3,0,0,6,20,1,3,0,0
4,0,0,0,4,0,0,0,0
