Meta,-3,-2,-1,0,1,2,3
-3,0,2,1,1,2,0,0
-2,1,34,63,76,12,0,0
-1,2,112,363,243,21,0,0
0,2,31,290,1047,348,39,2
1,1,7,18,303,455,130,4
2,0,0,2,87,79,58,4
3,0,0,0,6,1,3,0
