Meta,-3,-2,-1,0,1,2,3
-3,0,2,4,1,1,0,0
-2,5,45,83,80,2,1,0
-1,3,131,501,381,24,5,0
0,0,34,421,1474,356,42,0
1,0,4,28,299,474,151,3
2,0,0,6,79,104,43,12
3,0,0,1,10,2,2,0
