Meta -1,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3
Meta -2,-3,-3,-3,-2,-2,-1,0,-3,-3,-2,-2,-2,-2,-1,-1,-1,0,0,0,-2,-2,-2,-2,-1,-1,-1,0,0,0,1,-3,-2,-2,-2,-1,-1,-1,-1,0,0,0,0,0,0,1,1,1,2,2,-1,0,0,0,0,1,1,1,1,2,2,2,3,0,0,1,1,1,1,2,2,2,2,3,3,3,1,2,3,3
Meta -3,-3,-2,0,-2,0,-1,0,-3,-2,-3,-2,-1,0,-2,-1,0,-1,0,1,-3,-2,-1,0,-2,-1,0,-1,0,1,2,-1,-2,-1,0,-2,-1,0,1,-3,-2,-1,0,1,2,0,1,2,1,2,0,-1,0,1,2,-1,0,1,2,0,1,2,2,0,1,0,1,2,3,0,1,2,3,1,2,3,1,2,1,3
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,2,0,0,2,0,0,0,0,1,1,42,21,3,1,21,7,1,2,1,0,1,2,1,1,26,11,0,10,0,0,0,0,0,0,0,2,0,0,1,0,0,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,2,1,0,23,7,0,3,16,2,0,8,0,3,22,15,6,42,377,70,22,72,3,0,0,0,0,0,1,24,6,0,0,2,11,93,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,7,4,1,3,85,16,8,27,0,1,1,2,2,1,11,76,27,1,0,3,99,989,94,3,24,77,8,1,2,0,1,25,9,0,0,17,83,6,1,4,4,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,4,84,13,0,8,24,1,1,0,1,2,66,21,1,1,66,400,47,2,28,27,0,4,2,6,23,7,1,1,7,28,1,0,0,0,0,1,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,1,2,0,0,0,0,1,10,3,0,0,6,30,4,3,4,6,1,8,1,8,15,6,0,8,22,51,2,1,1,1,1,1,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1
