Meta,-3,-2,-1,0,1,2,3,4
-3,9,5,3,4,0,0,0,0
-2,8,136,67,13,0,0,0,0
-1,3,74,760,147,0,1,0,0
0,1,9,153,1885,157,10,0,0
1,0,0,1,136,750,99,0,0
2,0,0,1,24,75,238,14,0
3,0,0,0,5,4,4,16,1
4,0,0,0,1,0,0,0,3
