Meta -1,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3
Meta -2,-2,-2,-1,-1,-1,0,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,0,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,-1,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,0,1,1,1,2,3,3
Meta -3,-2,-1,-1,-1,0,0,-2,-2,-1,-1,0,-3,-3,-3,-2,-2,-2,-2,-1,-1,-1,0,0,-2,-2,-2,-1,-1,0,-1,-1,0,0,1,1,-3,-3,-2,-2,-2,-1,-1,-1,0,0,0,1,-2,-2,-2,-2,-2,-1,-1,-1,-1,0,0,0,0,1,1,-2,-1,-1,-1,0,0,0,1,0,1,1,-2,-2,-1,-1,-2,-2,-2,-1,-1,-1,0,0,-2,-2,-1,-1,-1,0,0,0,0,0,1,1,1,2,2,0,0,0,0,1,1,1,2,2,-1,0,1,1,2,-1,-1,-1,0,0,0,1,1,1,2,2,0,0,0,0,1,1,1,2,2,2,2,0,0,1,1,1,2,2,2,3,3,-1,-1,-1,0,0,1,-1,0,0,1,1,1,2,2,0,0,1,1,1,2,2,2,2,3,3,3,0,1,2,3,3,0,0,1,1,0,1,3
Meta -4,-2,-1,-1,0,0,0,-2,-1,-1,0,0,-2,-1,0,-3,-2,-1,0,-2,-1,0,-1,0,-2,-1,0,-1,0,0,-1,0,0,1,1,1,-2,-1,-3,-2,-1,-2,-1,0,-1,0,1,1,-3,-2,-1,0,1,-2,-1,0,1,-2,-1,0,1,0,1,-2,-2,-1,0,-1,0,1,0,0,0,1,-2,-1,-2,-1,-2,-1,0,-2,-1,0,-1,0,-2,-1,-2,-1,0,-2,-1,0,1,2,0,1,2,-1,0,-1,0,1,2,0,1,2,1,2,-1,0,-1,1,2,-1,-1,0,-1,0,1,0,1,2,1,2,-1,0,1,2,0,1,2,0,1,2,3,-1,0,0,1,2,0,1,2,2,3,-1,-1,0,0,1,1,-1,0,1,0,1,2,1,2,0,1,0,1,2,0,1,2,3,0,1,3,0,0,0,1,3,0,0,0,1,0,1,1
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,3,1,1,1,1,1,2,1,0,1,1,1,1,1,1,23,15,5,5,13,5,1,4,2,2,1,18,2,5,0,1,2,2,0,0,0,0,0,2,0,1,5,0,1,2,1,0,0,0,0,0,0,6,24,6,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,8,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,1,0,2,0,0,2,0,0,1,20,5,0,0,6,0,0,0,0,4,2,16,3,1,1,0,7,0,1,1,1,2,2,21,3,5,12,1,0,4,0,1,3,23,16,4,1,37,254,56,2,1,13,55,1,1,2,1,1,10,5,7,59,3,1,1,1,1,0,1,0,0,1,0,0,2,13,2,1,6,0,0,1,10,0,0,10,77,3,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,0,1,0,0,0,3,2,0,0,4,70,7,0,0,3,8,0,0,0,0,0,7,2,4,24,1,0,0,0,0,1,0,1,1,5,2,1,3,62,9,7,20,1,2,7,63,26,3,83,766,84,2,31,60,7,1,1,1,25,8,1,6,66,4,4,5,1,1,0,0,0,0,0,1,1,31,3,7,6,1,1,1,0,5,1,0,15,63,4,0,1,3,0,0,0,2,1,1,0,2,5,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,1,1,0,2,77,11,0,1,13,1,0,0,0,10,5,1,0,13,0,0,2,0,0,1,1,1,0,4,1,1,47,12,8,6,1,1,0,5,48,14,1,46,318,47,6,18,30,1,2,4,3,13,5,1,9,24,1,1,0,1,1,3,1,0,0,5,0,1,16,0,2,5,1,1,3,8,0,2,9,22,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
