Meta,-3,-2,-1,0,1,2,3
-3,1,3,3,1,0,0,0
-2,6,63,50,39,0,2,0
-1,1,79,487,206,8,0,0
0,0,11,229,1424,201,19,0
1,0,2,7,166,518,99,1
2,0,0,5,46,63,92,8
3,0,0,0,2,5,2,3
