Meta,-3,-2,-1,0,1,2,3
-3,1,1,2,3,1,0,0
-2,1,45,85,61,5,0,0
-1,6,117,386,291,19,0,0
0,0,31,320,991,302,35,0
1,0,0,22,272,471,141,5
2,0,0,3,60,110,52,3
3,0,0,0,5,3,0,0
