Meta,-3,-2,-1,0,1,2,3
-3,0,1,2,4,1,0,0
-2,4,38,75,95,3,1,0
-1,4,127,466,408,31,9,0
0,0,45,456,1388,382,55,1
1,0,5,35,321,444,148,5
2,0,0,6,100,99,30,9
3,0,0,3,8,3,1,0
