Meta -1,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3
Meta -2,-3,-3,-2,-1,0,-3,-3,-3,-3,-2,-2,-2,-2,-1,-1,-1,0,0,0,-2,-2,-2,-2,-1,-1,-1,-1,0,0,0,0,1,-2,-2,-2,-1,-1,-1,0,0,0,0,0,1,1,1,2,2,2,2,-2,0,0,0,0,1,1,1,1,1,2,2,2,2,3,-1,-1,0,0,0,1,1,1,2,2,2,2,2,3,3,3,1,1,2,2,3,3,3
Meta -3,-3,-1,-2,-1,0,-3,-2,-1,0,-3,-2,-1,0,-2,-1,0,-1,0,2,-3,-2,-1,0,-2,-1,0,1,-2,-1,0,1,1,-2,-1,0,-2,-1,0,-2,-1,0,1,2,0,1,2,-1,0,1,2,-2,-1,0,1,2,-2,0,1,2,3,-1,0,1,2,2,-1,0,-1,0,1,0,1,2,-1,0,1,2,3,1,2,3,0,1,0,1,1,2,3
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,1,0,3,1,1,1,2,1,1,3,42,20,9,3,18,9,2,9,0,0,3,2,2,6,32,4,0,0,4,15,1,0,0,0,0,0,4,2,1,0,12,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,1,0,0,1,31,8,1,3,21,10,4,2,1,1,35,28,4,53,435,94,0,3,21,91,4,1,0,3,1,0,28,6,0,13,129,5,0,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,2,1,0,3,4,1,8,112,20,1,1,9,41,0,0,1,2,2,8,100,41,4,134,1371,123,6,38,91,6,1,1,3,2,0,2,42,10,0,0,12,89,10,0,0,1,5,3,0,1,0,0,2,0,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,2,109,7,1,11,16,2,0,0,0,1,1,7,62,16,0,1,67,455,49,1,2,3,10,47,1,2,0,1,4,0,6,12,1,0,4,9,38,1,0,0,0,0,0,0,1,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,15,0,0,3,1,0,0,0,0,0,0,0,13,3,1,0,4,30,3,0,0,1,4,2,0,0,1,1,8,4,8,23,5,1,9,27,54,5,1,1,4,0,1,0,1,0,1,3
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,2,0,1,1,2,1,1
