Meta,-3,-2,-1,0,1,2,3,4
-3,1,4,8,8,0,0,0,0
-2,11,62,90,59,1,1,0,0
-1,9,128,566,274,7,1,0,0
0,0,29,306,1544,298,36,0,0
1,0,0,7,231,559,183,5,1
2,0,1,6,81,117,126,20,1
3,0,0,2,13,4,5,5,1
4,0,0,0,3,0,0,0,1
