Meta,-3,-2,-1,0,1,2,3
-3,0,0,2,1,0,0,0
-2,2,90,55,27,0,0,0
-1,1,67,412,182,3,0,0
0,0,17,190,1323,255,20,0
1,0,0,3,226,593,115,2
2,0,0,2,45,84,119,6
3,0,0,1,1,4,2,2
