Meta,-3,-2,-1,0,1,2,3
-3,1,2,4,1,0,0,0
-2,5,45,53,55,1,1,0
-1,2,85,420,260,12,2,0
0,0,23,284,1283,263,31,0
1,0,2,15,216,439,118,2
2,0,0,5,62,78,60,9
3,0,0,0,7,2,2,1
