Meta,-3,-2,-1,0,1,2,3
-3,0,0,1,2,0,0,0
-2,1,61,80,76,3,1,0
-1,1,113,393,309,22,0,0
0,1,46,339,1360,460,49,1
1,0,2,22,428,571,167,9
2,0,0,1,81,133,67,2
3,0,0,2,4,6,0,0
