Meta -1,-3,-2,-2,-2,-2,-1,-1,-1,-1,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3
Meta -2,-1,-3,-2,-1,0,-2,-1,0,1,-2,-1,0,1,2,-1,0,1,2,0,1,2,3,-1,1,2,3
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,3,2,85,27,5,5,24,17,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,1,33,17,1,34,366,79,0,0,29,102,2,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,1,2,0,13,86,35,1,3,102,1254,136,3,0,34,118,13,0,0,4,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,2,122,24,1,0,101,532,67,3,37,47,2,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,1,15,3,0,1,14,47,9,16,34,108,3,0,0,2,3
3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,2,0,2
