Meta,-3,-2,-1,0,1,2,3
-3,0,0,2,1,0,0,0
-2,1,61,65,47,0,0,0
-1,1,82,352,222,8,0,0
0,1,30,237,1185,320,31,0
1,0,1,6,284,506,137,5
2,0,0,3,61,100,87,5
3,0,0,0,4,5,1,0
