Meta,-3,-2,-1,0,1,2,3
-3,2,3,2,1,0,0,0
-2,6,85,50,19,0,0,0
-1,0,62,576,142,1,0,0
0,0,8,150,1575,142,9,0
1,0,1,0,126,598,68,1
2,0,0,3,21,52,133,5
3,0,0,0,0,2,4,6
