Meta,-3,-2,-1,0,1,2,3
-3,0,1,3,3,1,0,0
-2,2,39,72,74,9,1,0
-1,6,113,352,330,18,0,0
0,0,39,355,905,333,45,1
1,0,1,31,289,443,144,3
2,0,0,5,76,105,38,4
3,0,0,0,6,2,0,0
