Meta,-3,-2,-1,0,1,2,3
-3,0,3,5,7,0,0,0
-2,9,68,92,56,2,0,0
-1,6,120,554,316,14,0,0
0,0,36,345,1481,333,33,0
1,0,0,12,301,615,136,2
2,0,0,2,67,97,86,7
3,0,0,0,1,4,4,1
