Meta,-3,-2,-1,0,1,2,3
-3,3,4,2,6,0,0,0
-2,8,100,86,31,2,0,0
-1,3,99,639,263,5,1,0
0,1,24,278,1641,266,19,0
1,0,0,5,244,702,115,0
2,0,0,0,45,87,120,7
3,0,0,0,0,3,4,3
