Meta,-3,-2,-1,0,1,2,3
-3,0,0,3,2,1,0,0
-2,2,74,65,43,1,0,1
-1,2,92,461,179,7,0,0
0,1,16,206,1267,253,18,0
1,0,4,4,227,581,101,1
2,1,0,0,43,73,108,5
3,0,0,0,2,2,3,3
