Meta -1,-3,-3,-3,-2,-2,-2,-2,-2,-1,-1,-1,-1,0,0,0,0,0,1,1,1,1,2,2,2,2,2,3,3,3,3
Meta -2,-2,-1,0,-3,-2,-1,0,1,-2,-1,0,1,-2,-1,0,1,2,-1,0,1,2,-1,0,1,2,3,0,1,2,3
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,0,0,0,0,3,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,4,3,1,5,75,30,5,0,12,41,6,0,0,2,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,3,34,26,9,1,52,469,87,3,1,25,105,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,2,0,0,9,97,38,0,3,109,1139,120,2,0,52,92,11,1,1,2,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,107,31,3,0,81,534,63,0,6,29,48,2,0,0,0,0
2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,10,2,0,1,12,47,11,0,6,40,88,3,1,1,1,2
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0,2,0,1
