Meta,-3,-2,-1,0,1,2,3
-3,0,1,2,9,1,2,0
-2,6,29,68,51,1,0,0
-1,9,91,413,310,19,1,0
0,0,33,336,1038,296,30,4
1,0,0,19,251,426,138,8
2,0,1,2,72,93,69,4
3,0,0,0,9,6,1,1
