Meta,-3,-2,-1,0,1,2,3
-3,2,3,5,7,1,0,0
-2,3,28,90,98,4,1,0
-1,9,131,432,437,12,0,0
0,3,61,468,1273,422,64,1
1,1,1,20,349,443,148,16
2,0,0,2,115,93,45,4
3,0,0,3,14,3,1,0
