Meta,-3,-2,-1,0,1,2,3
-3,0,0,3,1,3,0,0
-2,2,69,89,74,6,0,0
-1,3,136,503,285,16,1,1
0,1,30,332,1377,389,34,0
1,1,5,15,344,637,153,6
2,0,0,3,76,108,96,4
3,0,0,0,6,2,3,1
