Meta,-3,-2,-1,0,1,2,3
-3,4,4,6,3,1,0,0
-2,7,69,90,56,1,1,0
-1,6,117,553,337,8,0,0
0,1,34,357,1540,328,33,1
1,0,0,12,288,532,138,8
2,0,0,2,61,101,83,12
3,0,0,1,9,7,4,0
