Meta,-3,-2,-1,0,1,2,3,4
-3,1,4,8,8,0,0,0,0
-2,11,49,79,46,1,1,0,0
-1,9,112,494,216,6,1,0,0
0,0,21,245,1241,222,29,0,0
1,0,0,5,166,421,139,5,1
2,0,1,5,65,83,101,20,1
3,0,0,2,13,4,5,5,1
4,0,0,0,3,0,0,0,1
