Meta -1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
Meta -2,-3,-3,-3,-3,-2,-1,-1,-1,-1,0,-3,-3,-2,-2,-2,-2,-1,-1,-1,0,0,0,0,-3,-2,-2,-2,-1,-1,-1,-1,-1,0,0,0,0,1,1,-2,-2,-2,-1,-1,-1,0,0,0,0,0,1,1,1,1,2,2,2,2,-1,0,0,0,0,0,1,1,1,1,2,2,2,2,0,0,0,0,1,1,1,2,2,2,2,3,3,3,0,1,2,2,2,3,3,3,3
Meta -3,-3,-2,-1,0,-1,-2,-1,0,1,0,-3,-1,-3,-2,-1,0,-2,-1,0,-2,-1,0,1,-3,-2,-1,0,-3,-2,-1,0,1,-2,-1,0,1,1,2,-2,-1,0,-2,-1,0,-2,-1,0,1,2,-1,0,1,2,0,1,2,3,-1,-2,-1,0,1,2,-1,0,1,2,0,1,2,3,-1,0,1,2,0,1,2,0,1,2,3,0,2,3,0,1,0,1,2,0,1,2,3
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,0,1,2,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,1,0,0,2,0,0,1,1,0,0,3,2,4,44,17,7,2,14,8,1,1,7,0,0,2,3,0,0,1,26,5,0,0,4,10,0,0,0,1,0,0,0,1,0,0,1,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,2,0,0,0,0,0,0,0,0,0,0,0,1,25,7,1,3,15,5,0,0,7,0,2,26,19,3,2,43,438,88,3,0,21,88,2,3,0,0,1,0,2,24,11,2,12,132,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,3,0,0,0,0,1,0,6,1,3,0,3,107,18,0,1,12,52,1,0,0,3,1,1,7,101,50,3,142,1215,126,6,1,36,102,3,1,2,2,1,1,0,2,33,12,0,0,22,100,10,0,2,6,1,0,1,0,0,0,2,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,2,4,0,4,116,10,0,0,7,28,5,0,0,1,0,2,0,5,80,24,1,2,83,479,57,2,20,45,2,1,1,0,0,4,13,6,2,14,47,0,1,1,1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,1,0,0,1,0,1,0,0,1,0,0,1,0,17,4,0,0,4,39,2,0,1,11,0,0,9,2,1,18,27,6,9,35,86,6,0,5,1,1,0,2,2,2,0,0,0,3
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,2
