Meta,-3,-2,-1,0,1,2,3
-3,0,2,4,7,1,1,0
-2,8,51,70,54,0,0,0
-1,7,101,537,337,18,1,0
0,0,26,371,1433,349,30,3
1,0,2,19,300,588,163,3
2,0,1,0,74,111,115,10
3,0,0,0,8,7,1,2
