Meta,-3,-2,-1,0,1,2,3
-3,3,2,4,5,1,0,0
-2,8,78,59,37,1,0,0
-1,4,83,634,269,10,1,0
0,0,19,291,1607,276,19,1
1,0,1,12,242,684,133,3
2,0,0,1,48,98,155,9
3,0,0,0,5,5,3,5
