Meta,-3,-2,-1,0,1,2,3
-3,0,3,3,2,0,0,0
-2,5,105,90,30,4,0,0
-1,3,106,627,242,10,0,0
0,0,19,255,1580,266,19,0
1,0,0,8,240,756,139,3
2,0,0,4,44,106,130,6
3,0,0,0,3,4,2,2
