Meta,-3,-2,-1,0,1,2,3
-3,1,2,4,1,0,0,0
-2,5,60,84,65,1,1,0
-1,2,126,561,341,13,2,0
0,0,26,368,1577,324,32,0
1,0,2,22,268,526,140,2
2,0,0,6,63,96,67,12
3,0,0,0,9,3,2,1
