Meta,-3,-2,-1,0,1,2,3
-3,0,2,1,0,3,0,0
-2,0,26,62,80,18,0,0
-1,3,108,333,264,32,1,0
0,2,42,313,987,363,48,3
1,1,8,25,321,421,137,5
2,0,0,2,102,81,43,2
3,0,0,0,9,0,1,0
