Meta -1,-3,-2,-2,-2,-2,-1,-1,-1,-1,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,3
Meta -2,-1,-3,-2,-1,0,-2,-1,0,1,-2,-1,0,1,2,-1,0,1,2,0,1,2,3,-1,0,1,2,3
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,3,2,113,32,8,8,28,17,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,1,41,19,2,41,470,99,0,0,32,130,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,2,1,14,109,46,1,4,131,1558,169,4,0,46,153,14,0,0,5,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,5,151,39,1,0,136,689,77,4,41,52,3,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,1,17,3,0,1,14,55,9,17,38,118,4,0,1,1,2,3
3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,2,0,1,0,2,0,2
