Meta,-3,-2,-1,0,1,2,3,4
-3,0,2,8,11,0,0,0,0
-2,8,37,84,89,6,0,0,0
-1,13,136,485,334,15,2,0,0
0,0,47,372,1357,350,85,0,0
1,0,1,15,274,484,194,15,3
2,0,1,15,122,130,68,15,1
3,0,0,6,20,1,3,0,0
4,0,0,0,4,0,0,0,0
