Meta,-3,-2,-1,0,1,2,3
-3,0,2,2,2,1,0,0
-2,4,147,66,22,1,0,0
-1,1,78,697,166,3,0,0
0,1,13,175,1771,196,8,1
1,1,0,5,176,885,93,1
2,0,0,0,28,72,182,5
3,0,0,0,0,3,4,5
