Meta,-3,-2,-1,0,1,2,3,4
-3,9,5,3,4,0,0,0,0
-2,8,110,60,9,0,0,0,0
-1,3,65,654,115,0,1,0,0
0,1,7,120,1505,119,8,0,0
1,0,0,0,100,560,77,0,0
2,0,0,1,21,54,186,14,0
3,0,0,0,5,4,4,16,1
4,0,0,0,1,0,0,0,3
