Meta,-3,-2,-1,0,1,2,3
-3,0,0,3,0,0,0,0
-2,3,119,46,6,0,0,0
-1,0,52,479,133,1,0,0
0,0,3,135,1499,165,4,0
1,0,0,1,149,700,89,0
2,0,0,0,19,71,161,5
3,0,0,1,0,2,2,5
