Meta -1,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
Meta -2,-2,-2,-1,-1,0,-3,-3,-3,-2,-2,-2,-2,-1,-1,-1,0,0,0,1,-2,-2,-2,-2,-2,-1,-1,-1,-1,0,0,0,0,1,1,-2,-2,-1,-1,-1,-1,0,0,0,0,0,1,1,1,2,2,2,2,-1,0,0,0,0,1,1,1,2,2,2,2,2,-1,-1,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,0,1,1,2,2,3,3,3
Meta -3,-2,-1,-1,0,0,-2,-1,0,-3,-2,-1,0,-2,-1,0,-1,0,1,1,-3,-2,-1,0,1,-2,-1,0,1,-2,-1,0,1,0,1,-2,-1,-2,-1,0,1,-2,-1,0,1,2,0,1,2,-1,0,1,2,-1,-1,0,1,2,0,1,2,-1,0,1,2,3,-1,0,-1,0,1,-1,0,1,2,0,1,2,3,0,1,2,3,0,0,1,0,2,1,2,3
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,3,1,2,1,1,3,1,1,3,51,27,8,5,24,5,2,7,0,0,0,2,6,4,0,0,43,7,0,0,0,6,0,0,1,0,0,0,2,1,0,1,0,10,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,1,2,0,2,33,6,0,6,24,1,1,7,1,2,3,33,22,4,2,56,416,88,3,1,23,83,1,1,2,1,0,1,22,10,0,0,11,107,6,0,1,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,6,3,1,0,8,101,12,0,0,9,34,0,0,1,3,2,9,92,29,1,4,117,1231,117,4,41,95,9,1,1,0,2,0,1,42,17,2,7,106,5,0,1,4,7,0,1,0,0,1,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,3,110,17,0,20,19,3,0,0,2,1,0,5,72,23,1,85,522,71,1,8,28,40,3,0,1,2,7,0,0,7,20,9,2,12,42,0,0,0,1,2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,14,2,0,0,3,0,0,0,0,0,1,0,14,2,0,5,46,4,0,0,4,9,0,0,0,0,7,3,0,9,34,4,8,35,70,3,1,1,0,1,1,1,0,1,0,1,0,2
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,1,0
