Meta -1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
Meta -2,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-1,-1,0,0,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,-3,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,1,1,2,2,3,3,3,3,3
Meta -3,-3,-3,-2,-2,0,-2,-2,-1,0,0,-1,0,0,0,-3,-2,-2,-1,0,-3,-3,-3,-3,-2,-2,-2,-2,-1,-1,-1,0,0,0,-2,-2,-2,-1,-1,-1,0,-1,0,0,1,1,-3,-3,-2,-2,-2,-1,-1,-1,0,0,-2,-2,-2,-2,-1,-1,-1,0,0,0,-1,-1,-1,0,0,0,0,1,1,2,-1,-2,-2,-1,-1,0,0,-2,-2,-2,-1,-1,-1,0,0,1,-3,-2,-2,-2,-1,-1,-1,-1,0,0,0,0,0,1,1,1,2,2,0,0,0,1,1,1,2,2,2,1,2,0,-1,-1,0,0,0,0,1,1,1,2,-1,0,0,0,0,1,1,1,1,2,2,2,0,0,1,1,1,1,2,2,2,2,2,0,0,1,1,0,0,0,1,1,1,2,2,2,3,0,0,1,1,1,2,2,2,2,3,3,3,1,2,3,1,1,2,2,1,2,3,3,3
Meta -4,-2,0,-1,0,0,-2,-1,0,-1,0,-1,0,-1,0,-3,-2,0,0,0,-3,-2,-1,0,-3,-2,-1,0,-2,-1,0,-1,0,1,-2,-1,0,-2,-1,0,0,-1,-3,0,0,1,-3,-2,-3,-2,-1,-2,-1,0,-1,0,-3,-2,-1,0,-2,-1,0,-1,0,1,-2,-1,0,-2,-1,0,1,0,1,1,-1,-2,0,-1,0,0,1,-2,-1,0,-2,-1,0,-1,0,2,-1,-2,-1,0,-2,-1,0,1,-2,-1,0,1,2,0,1,2,1,2,-1,0,1,0,1,2,0,1,2,1,2,-1,-1,0,-1,0,1,2,0,1,2,1,0,-1,0,1,2,-1,0,1,2,0,1,2,0,1,0,1,2,3,0,1,2,3,2,-1,0,0,1,-1,0,1,0,1,2,0,1,2,2,0,1,0,1,2,0,1,2,3,1,2,3,1,2,3,0,1,1,2,1,2,1,2,3
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2,2,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,2,1,1,4,31,21,2,1,21,5,0,2,1,0,2,0,1,13,13,7,1,1,1,1,0,0,0,0,1,0,0,2,1,0,1,0,2,0,1,2,22,6,2,11,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,2,9,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,26,5,1,1,5,2,0,0,0,1,1,1,2,15,0,3,1,0,10,0,0,2,1,0,22,8,3,12,1,1,8,3,25,15,8,47,339,60,19,61,3,1,20,4,2,9,69,5,2,3,0,0,0,0,0,0,0,0,1,0,0,2,23,4,2,4,0,0,0,1,1,0,9,3,0,0,16,101,1,0,0,5,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,1,9,0,0,3,1,0,1,0,3,1,0,2,84,17,4,13,2,0,8,2,0,2,37,0,0,0,1,1,1,1,2,1,1,1,9,4,1,2,77,13,8,33,1,0,2,2,1,13,79,35,1,4,107,1077,99,4,28,77,10,1,3,1,25,6,14,71,7,1,5,4,2,3,0,0,1,1,30,3,1,2,8,0,0,0,0,13,4,0,0,10,90,3,0,1,6,0,1,1,3,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,3,2,0,0,2,91,15,0,4,10,0,1,0,0,6,4,3,25,0,0,0,1,1,0,1,1,1,5,66,10,0,7,16,1,1,1,2,61,19,1,1,69,368,47,1,26,27,1,1,6,17,6,0,2,4,29,0,0,0,4,0,2,0,7,1,3,17,4,3,1,3,1,2,0,2,5,1,2,12,20,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
