Meta -1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3
Meta -2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,0,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,3,3,0,1
Meta -3,-2,-2,-2,-2,-2,-2,-1,-1,0,-2,-1,0,-2,-2,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,0,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,2,-1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,2,2,2,1,2,2,3,1,1,1,1,2,2,2,3,0,1,0,1
Meta -4,-2,-2,-2,-1,-1,0,-2,-1,0,-2,-1,0,-2,-2,-2,-1,-1,-1,0,0,-1,0,-1,-1,0,0,-1,-1,0,0,0,-1,-1,0,-1,-1,0,0,0,1,1,1,0,0,1,1,2,0,1,0,1,1,2,2,-1,0,0,1,1,-1,0,1,1,0,0,1,1,1,2,2,1,2,3,1,2,2,0,0,1,1,1,1,2,3,1,0,1,0,1
Meta -5,-2,-1,0,-2,-1,0,-2,-1,0,-2,0,0,-2,-2,-2,-2,-1,0,-1,0,-1,0,-1,0,0,1,-1,0,-1,0,0,-1,0,0,-1,0,-1,0,1,0,1,2,0,1,1,2,2,0,1,-1,0,1,3,2,-1,0,0,0,1,-1,0,0,1,0,1,0,1,2,1,2,1,2,0,1,2,3,0,0,1,0,1,1,1,1,1,0,1,-1,1
Meta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.75,0.6666666666666666,1.0,0.7142857142857143,0.5,0.875,1.0,1.0,0.875,0.5,0.125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.08641975308641975,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3333333333333333,0.0,0.14285714285714285,0.5,0.125,0.0,0.0,0.125,0.5,0.75,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.7777777777777778,0.8024691358024691,1.0,1.0,0.7777777777777778,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.7777777777777778,1.0,1.0,0.0,0.2,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.2222222222222222,0.0,0.0,1.0,0.8,1.0,1.0,0.5,0.0,0.875,1.0,1.0,1.0,0.6666666666666666,0.4444444444444444,0.7407407407407407,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
