Meta,-3,-2,-1,0,1,2,3
-3,4,3,1,1,0,0,0
-2,4,101,52,14,0,0,0
-1,0,62,632,143,1,0,0
0,1,5,152,1422,151,4,0
1,0,0,1,139,662,80,1
2,0,0,0,15,68,124,3
3,0,0,0,0,2,2,3
